review_text,rating,product_name,brand,user_id,review_date,ram,storage,color,source,verified_purchase
good - Nice ,4.0,infinix smart 10 smart phone with 64gb,infinix,,2025-08-28 00:00:00.000000,ram,rom,ram,Review Data Import,True
Excellent - Perfect ,4.0,infinix smart 8 66 2gb,infinix,,2025-01-07 00:00:00.000000,ram,rom,gold,Review Data Import,True
I like it - It works perfectly without any hitch,4.0,infinix smart 8 66 2gb,infinix,,2025-02-17 00:00:00.000000,ram,rom,gold,Review Data Import,True
Morning star - Sweet ,4.0,infinix smart 8 66 2gb,infinix,,2025-01-14 00:00:00.000000,ram,rom,gold,Review Data Import,True
The Authenticity - Love it,4.0,infinix smart 8 66 2gb,infinix,,2024-09-12 00:00:00.000000,ram,rom,gold,Review Data Import,True
"nice  - The phone is amazing it what the amount 
",4.0,infinix smart 9hd 67 3gb,infinix,,2025-05-26 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
nice product  - It's given ,4.0,infinix smart 9hd 67 3gb,infinix,,2025-02-18 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
"I love it - It is what it is, very well described, and it's exactly.",4.0,infinix smart 9hd 67 3gb,infinix,,2025-10-02 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
sweet item  - Very nice and durable ,4.0,infinix smart 9hd 67 3gb,infinix,,2025-01-27 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
Nice - The phone exceed my expectations.,4.0,infinix smart 9hd 67 3gb,infinix,,2024-12-18 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
infinix smart 9  - I enjoyed using this brand,4.0,infinix smart 9hd 67 3gb,infinix,,2024-12-16 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
Exellent  - Ok very excellent ,4.0,infinix smart 9hd 67 3gb,infinix,,2024-12-13 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
"I got what I ordered in good condition. - Good, no compromise",4.0,infinix smart 9hd 67 3gb,infinix,,2024-11-28 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
"nice  - The phone is amazing it what the amount 
",4.0,infinix smart 9hd 67 3gb,infinix,,2025-05-26 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
nice product  - It's given ,4.0,infinix smart 9hd 67 3gb,infinix,,2025-02-18 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
"I love it - It is what it is, very well described, and it's exactly.",4.0,infinix smart 9hd 67 3gb,infinix,,2025-10-02 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
sweet item  - Very nice and durable ,4.0,infinix smart 9hd 67 3gb,infinix,,2025-01-27 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
Nice - The phone exceed my expectations.,4.0,infinix smart 9hd 67 3gb,infinix,,2024-12-18 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
infinix smart 9  - I enjoyed using this brand,4.0,infinix smart 9hd 67 3gb,infinix,,2024-12-16 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
Exellent  - Ok very excellent ,4.0,infinix smart 9hd 67 3gb,infinix,,2024-12-13 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
"I got what I ordered in good condition. - Good, no compromise",4.0,infinix smart 9hd 67 3gb,infinix,,2024-11-28 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
"nice  - The phone is amazing it what the amount 
",4.0,infinix smart 9hd 67 3gb,infinix,,2025-05-26 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
nice product  - It's given ,4.0,infinix smart 9hd 67 3gb,infinix,,2025-02-18 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
"I love it - It is what it is, very well described, and it's exactly.",4.0,infinix smart 9hd 67 3gb,infinix,,2025-10-02 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
sweet item  - Very nice and durable ,4.0,infinix smart 9hd 67 3gb,infinix,,2025-01-27 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
Nice - The phone exceed my expectations.,4.0,infinix smart 9hd 67 3gb,infinix,,2024-12-18 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
infinix smart 9  - I enjoyed using this brand,4.0,infinix smart 9hd 67 3gb,infinix,,2024-12-16 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
Exellent  - Ok very excellent ,4.0,infinix smart 9hd 67 3gb,infinix,,2024-12-13 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
"I got what I ordered in good condition. - Good, no compromise",4.0,infinix smart 9hd 67 3gb,infinix,,2024-11-28 00:00:00.000000,ram64gb,rom,black,Review Data Import,True
good phone - I love the product ,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2025-07-05 00:00:00.000000,,,black,Review Data Import,True
great  - Perfect ,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2025-08-04 00:00:00.000000,,,black,Review Data Import,True
good - What i ordered is wat i got,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2025-11-03 00:00:00.000000,,,black,Review Data Import,True
Nice  - Works perfectly.,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2024-10-28 00:00:00.000000,,,black,Review Data Import,True
EXCELLENT - GREAT PRODUCT,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2024-03-14 00:00:00.000000,,,black,Review Data Import,True
"my colleague like it - Nice mobile phone, it has cool feature .. big battery level..",4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2021-05-26 00:00:00.000000,,,black,Review Data Import,True
Nice product - Working perfectly well,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2021-07-03 00:00:00.000000,,,black,Review Data Import,True
"Good phone so far - Good so far, I think this is 2/3 months. The voice quality isn't so good, at least not as good as an android phone :-)",4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2021-02-15 00:00:00.000000,,,black,Review Data Import,True
okay - It is good for use.,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2020-12-16 00:00:00.000000,,,black,Review Data Import,True
okay - It is good for use.,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2020-12-16 00:00:00.000000,,,black,Review Data Import,True
I like it - My customer like  love it,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2020-09-12 00:00:00.000000,,,black,Review Data Import,True
Good - The item is working well so far,4.0,itel 2160 wireless fm bright torchlight call recorder dual sim mobile black,itel,,2020-04-12 00:00:00.000000,,,black,Review Data Import,True
